District Name,state,Connected to All weather road,Internal Pucca Roads (Cc/ Brick Road),Public Transport,Public Distribution System(PDS),Piped tap water,Drainage facilities,Community waste disposal system,Community bio gas or recycle of waste for production use,Aanganwadi Centre,Children under 5 years who are wasted (weight-for-height)18 (%),classify
SRI MUKTSAR SAHIB (39),PJ(22),246,221,253,143,256,232,24,28,250,13.6,Low
Shahid Bhagat Singh Nagar (40),PJ(22),480,302,424,213,500,475,283,48,461,12,Low
PATIALA (41),PJ(22),1029,693,907,704,1069,1002,62,48,998,9.9,Low
RUPNAGAR (42),PJ(22),528,460,510,161,671,621,32,42,622,9.1,Low
SANGRUR (43),PJ(22),511,372,581,340,585,518,184,148,573,10.4,Low
BARNALA (605),PJ(22),278,236,306,112,367,332,7,10,330,10.7,Low
S.A.S Nagar (608),PJ(22),311,330,504,101,461,360,76,92,472,11.3,Low
Tarn Taran (609),PJ(22),432,388,418,303,463,439,116,70,446,9.5,Low
FAZILKA (651),PJ(22),367,282,411,160,462,466,51,6,391,10.3,Low
PATHANKOT (662),RJ(23),907,911,642,480,834,990,155,76,994,20,High
AJMER (86),RJ(23),1603,1634,975,803,1428,1760,245,126,1829,15.6,Low
ALWAR (87),RJ(23),798,1056,1245,359,613,938,79,59,1361,17.3,Low
BANSWARA (88),RJ(23),811,1024,632,292,685,1043,62,30,1023,21.3,High
BARAN (89),RJ(23),1487,1076,2290,686,1187,1051,158,96,2329,11.5,Low
BARMER (90),RJ(23),1112,1281,911,527,1047,1329,119,82,1284,12.2,Low
BHARATPUR (91),RJ(23),1332,1675,992,406,1515,1667,146,65,1574,17.4,Low
BHILWARA (92),RJ(23),557,701,859,276,855,648,71,44,724,25.6,High
BIKANER (93),RJ(23),664,764,370,239,460,801,26,22,799,19.6,High
BUNDI (94),RJ(23),1191,1254,783,427,1219,1428,148,71,1331,14.6,Low
CHITTORGARH (95),RJ(23),699,664,792,456,818,716,113,69,824,16.5,Low
CHURU (96),RJ(23),733,1004,471,362,733,1001,114,50,902,20.7,High
DAUSA (97),RJ(23),559,752,561,334,490,757,127,30,727,13.7,Low
DHOLPUR (98),RJ(23),767,871,927,382,375,598,81,56,941,15.6,Low
DUNGARPUR (99),RJ(23),1752,1727,1761,432,2298,1316,162,93,1396,24.9,High
GANGANAGAR (100),RJ(23),844,839,1091,342,1354,900,132,68,712,19.8,High
HANUMANGARH (101),RJ(23),1701,1737,1261,800,1777,1822,305,145,1893,14.6,Low
JAIPUR (102),RJ(23),352,358,577,176,363,458,70,27,496,25,High
JAISALMER (103),RJ(23),624,632,599,400,563,583,120,51,738,12.1,Low
JALORE (104),RJ(23),1039,1255,737,285,1214,1285,115,65,1139,29,High
JHALAWAR (105),RJ(23),838,788,755,528,915,776,146,46,900,13.9,Low
JHUNJHUNU (106),RJ(23),967,1026,1340,592,1409,1005,152,86,1406,13.3,Low
JODHPUR (107),RJ(23),610,695,569,247,578,673,89,53,756,26.6,High
KARAULI (108),RJ(23),639,766,343,151,652,785,85,50,705,20.8,High
KOTA (109),RJ(23),1297,1149,1239,832,1282,1304,190,88,1437,16.2,Low
NAGAUR (110),RJ(23),768,884,782,459,808,940,161,62,941,18.3,Low
PALI (111),RJ(23),815,989,681,336,884,944,130,51,855,16.6,Low
RAJSAMAND (112),RJ(23),609,614,510,337,380,658,55,43,671,22,High
SAWAI MADHOPUR (113),RJ(23),895,946,902,509,1072,966,131,76,1037,21.8,High
SIKAR (114),RJ(23),401,375,439,241,370,394,79,18,432,16.4,Low
SIROHI (115),RJ(23),782,959,550,271,999,1024,79,52,971,18.1,Low
TONK (116),RJ(23),1602,1962,1775,675,1228,1718,301,238,2243,8.6,Low
UDAIPUR (117),RJ(23),695,723,740,183,550,805,62,39,851,24.9,High
PRATAPGARH (629),RJ(23),79,83,101,82,107,88,32,0,107,18.7247392,Low
EAST DISTRICT (225),RJ(23),35,39,47,35,53,50,11,5,51,18.7247392,Low
NORTH DISTRICT (226),RJ(23),111,115,120,84,138,117,37,2,137,18.7247392,Low
SOUTH DISTRICT (227),RJ(23),89,76,100,84,114,93,31,3,113,18.7247392,Low
WEST DISTRICT (228),TN(24),220,200,234,224,241,222,140,50,238,7,Low
COIMBATORE (569),TN(24),677,656,764,768,837,397,324,73,795,13.9,Low
CUDDALORE (570),TN(24),437,394,448,408,495,355,247,108,434,16.9,Low
DHARMAPURI (571),TN(24),334,312,353,344,372,341,262,106,358,21.1,High
DINDIGUL (572),TN(24),294,234,282,292,304,290,172,48,302,20.9,High
ERODE (573),TN(24),337,352,373,363,448,309,225,120,386,15.7,Low
KANCHIPURAM (574),TN(24),117,119,125,127,128,117,59,26,125,11.4,Low
KANNIYAKUMARI (575),TN(24),164,171,162,169,175,130,123,39,173,18.4,Low
KARUR (576),TN(24),540,469,635,532,686,552,235,97,602,10.4,Low
KRISHNAGIRI (577),TN(24),524,510,568,515,608,561,435,119,549,9.5,Low
MADURAI (578),TN(24),421,435,449,478,497,206,260,61,486,12.5,Low
NAGAPATTINAM (579),TN(24),374,335,352,362,408,356,287,79,374,10.3,Low
NAMAKKAL (580),TN(24),142,132,148,150,162,150,80,29,157,15.9,Low
PERAMBALUR (581),TN(24),679,539,690,643,815,273,391,92,686,9.5,Low
PUDUKKOTTAI (582),TN(24),418,346,475,428,461,195,279,74,479,17.7,Low
RAMANATHAPURAM (583),TN(24),494,473,524,521,580,448,338,88,542,10.1,Low
SALEM (584),TN(24),562,497,683,578,694,343,415,111,655,22.8,High
SIVAGANGA (585),TN(24),758,605,762,714,774,328,423,115,768,8.3,Low
THANJAVUR (586),TN(24),45,47,48,42,49,47,23,5,44,17.3,Low
THE NILGIRIS (587),TN(24),134,123,144,140,149,148,110,35,143,15.5,Low
THENI (588),TN(24),581,593,581,609,728,357,370,81,668,17,Low
THIRUVALLUR (589),TN(24),433,423,476,493,546,203,243,62,522,18.4,Low
THIRUVARUR (590),TN(24),427,393,455,453,489,339,242,69,480,20.9,High
TIRUCHIRAPPALLI (591),TN(24),231,201,249,237,266,225,176,37,246,12,Low
TIRUNELVELI (592),TN(24),907,871,955,1045,1132,661,537,114,1072,14.8,Low
TIRUVANNAMALAI (593),TN(24),406,345,431,436,462,389,325,47,446,18.4,Low
TUTICORIN (594),TN(24),279,252,318,314,351,247,145,60,330,13.1,Low
VELLORE (595),TN(24),782,540,832,820,903,345,476,160,845,12.4,Low
VILLUPURAM (596),TN(24),533,468,583,488,650,513,336,72,552,14.4,Low
VIRUDHUNAGAR (597),TN(24),217,167,234,242,249,173,143,51,244,15.1,Low
Ariyalur (610),TN(24),275,277,289,298,304,253,217,39,299,15.3,Low
TIRUPPUR (634),TN(24),409,338,530,511,571,408,269,103,553,18.7247392,Low
KALLAKURICHI (729),TN(24),526,433,524,522,625,296,225,61,557,18.7247392,Low
CHENGALPATTU (730),TN(24),264,248,281,295,327,221,159,45,310,18.7247392,Low
Ranipet (731),TN(24),178,142,237,218,259,173,145,44,239,18.7247392,Low
Tirupathur (732),TN(24),229,203,248,240,252,238,176,53,249,18.7247392,Low
TENKASI (733),TP(25),153,147,204,162,180,161,6,3,220,15.9,Low
Dhalai (269),TP(25),129,126,149,100,137,142,13,3,179,30,High
North Tripura (270),TP(25),186,200,246,199,243,219,20,6,239,15.3,Low
South Tripura (271),TP(25),178,159,182,163,189,175,16,6,195,11.7,Low
West Tripura (272),TP(25),127,118,138,128,139,132,5,0,148,16.6,Low
Khowai (652),TP(25),203,182,210,186,214,205,20,3,213,14.9,Low
Sepahijala (653),TP(25),165,174,209,161,221,188,13,3,218,27.6,High
Gomati (654),TP(25),127,109,135,100,110,119,6,0,132,19.3,High
Unakoti (655),TS(26),493,503,545,334,564,537,444,71,542,29.5,High
ADILABAD (501),TS(26),309,295,303,279,318,312,258,61,310,13.9,Low
KARIMNAGAR (508),TS(26),585,549,608,504,629,599,489,198,621,24.7,High
KHAMMAM (509),TS(26),385,403,414,348,464,406,301,30,448,17.8,Low
MAHABUBNAGAR (512),TS(26),486,437,525,443,539,529,390,87,542,21.3,High
MEDAK (513),TS(26),848,844,917,779,950,899,522,84,938,29.8,High
NALGONDA (514),TS(26),548,530,549,434,563,551,471,105,544,26.2,High
NIZAMABAD (516),TS(26),642,649,664,546,704,673,563,102,658,13.9,Low
RANGA REDDY (518),TS(26),372,359,369,317,407,354,263,103,399,19,High
WARANGAL RURAL (522),TS(26),472,452,510,366,524,516,416,144,498,18.1,Low
Nirmal (680),TS(26),371,346,381,316,393,383,295,58,383,17.5,Low
Jagitial (681),TS(26),279,279,282,260,291,282,258,69,281,28.8,High
PEDDAPALLI (682),TS(26),257,239,248,227,267,241,220,46,259,19.4,High
RAJANNA SIRCILLA (683),TS(26),376,382,420,339,454,413,346,45,411,22.1,High
MANCHERIAL (684),TS(26),588,525,606,479,655,632,415,96,644,34.5,High
KAMAREDDY (685),TS(26),128,123,129,113,133,129,109,36,130,29.5,High
WARANGAL URBAN (686),TS(26),265,258,266,237,292,276,118,18,284,31.8,High
JAYASHANKAR BHUPALAPALLY (687),TS(26),460,446,494,392,521,428,355,137,503,19.3,High
MAHABUBABAD (688),TS(26),272,244,271,235,290,264,172,27,290,22.9,High
JANGOAN (689),TS(26),609,540,662,508,683,611,360,142,658,21.8,High
BHADRADRI KOTHAGUDEM (690),TS(26),671,612,701,619,756,749,514,72,754,25,High
SANGAREDDY (691),TS(26),483,466,488,446,514,492,341,38,502,19.3,High
SIDDIPET (692),TS(26),248,237,257,230,296,271,183,25,287,15.1,Low
WANAPARTHY (693),TS(26),467,468,522,435,543,487,336,72,544,27.3,High
NAGARKURNOOL (694),TS(26),236,232,249,233,268,239,204,26,256,17.3,Low
JOGULAMBA GADWAL (695),TS(26),465,466,477,408,492,477,387,68,488,24.9,High
SURYAPET (696),TS(26),403,374,385,359,428,409,228,18,421,10.3,Low
YADADRI BHUVANAGIRI (697),TS(26),663,667,744,637,789,751,609,109,778,20,High
VIKARABAD (698),TS(26),442,461,550,326,565,478,339,69,517,35.7,High
KUMURAM BHEEM ASIFABAD (699),TS(26),95,88,95,75,96,92,75,21,93,12,Low
MEDCHAL MALKAJGIRI (700),TS(26),276,256,278,220,288,263,220,50,264,18.7247392,Low
Mulugu (720),TS(26),281,273,314,235,344,305,197,17,325,18.7247392,Low
Narayanpet (721),UK(27),1181,1448,1656,860,2136,1621,187,75,1419,17,Low
ALMORA (45),UK(27),404,531,632,347,820,657,71,16,516,7.7,Low
BAGESHWAR (46),UK(27),424,714,752,560,1029,955,324,39,767,16.2,Low
CHAMOLI (47),UK(27),300,445,459,323,618,490,67,9,470,12.4,Low
CHAMPAWAT (48),UK(27),446,414,473,328,623,521,57,18,509,10.1,Low
DEHRADUN (49),UK(27),433,481,298,306,462,488,207,86,424,16.4,Low
HARIDWAR (50),UK(27),769,773,774,375,978,620,51,39,729,14,Low
NAINITAL (51),UK(27),1430,2492,2329,760,3058,2374,285,122,1445,12,Low
PAURI GARHWAL (52),UK(27),494,986,924,574,1495,1213,269,23,863,12.4,Low
PITHORAGARH (53),UK(27),335,500,449,314,616,400,94,15,421,8,Low
RUDRA PRAYAG (54),UK(27),1011,1309,1349,749,1720,1414,239,28,1342,12.8,Low
TEHRI GARHWAL (55),UK(27),482,482,328,300,429,559,33,34,528,12.4,Low
UDAM SINGH NAGAR (56),UK(27),358,472,419,411,625,572,37,11,593,10.6,Low
UTTAR KASHI (57),UP(28),815,770,427,672,633,866,148,23,815,16.4,Low
AGRA (118),UP(28),893,999,623,772,584,1048,122,44,1007,10.9,Low
ALIGARH (119),UP(28),1903,2244,1469,1613,1288,2318,553,137,1716,15.1,Low
ALLAHABAD (120),UP(28),1392,1427,693,1048,712,1487,235,19,911,17.8,Low
AMBEDKAR NAGAR (121),UP(28),691,739,402,466,465,745,76,25,598,19.4,High
AURAIYA (122),UP(28),3039,3199,2489,2188,1050,3308,492,77,1496,14.4,Low
AZAMGARH (123),UP(28),265,255,202,240,144,282,25,10,257,10.3,Low
BAGHPAT (124),UP(28),1097,1105,644,1018,696,1183,225,39,1106,14.4,Low
BAHRAICH (125),UP(28),1339,1508,935,1031,732,1541,202,35,891,21.9,High
BALLIA (126),UP(28),836,912,484,791,316,948,186,20,799,24.9,High
BALRAMPUR (127),UP(28),588,621,551,468,340,611,75,7,506,25.7,High
BANDA (128),UP(28),1585,1594,610,1300,883,1716,208,26,1378,18.1,Low
BARABANKI (129),UP(28),1535,1620,1178,1214,1060,1745,251,59,1359,15.4,Low
BAREILLY (130),UP(28),2408,2407,1244,1423,1315,2505,415,65,1390,24.2,High
BASTI (131),UP(28),1944,2140,1569,1302,1527,2329,444,92,1559,9.4,Low
BIJNOR (132),UP(28),1290,1391,1085,1037,599,1469,206,33,1087,18.2,Low
BUDAUN (133),UP(28),1061,1029,843,996,389,1159,146,20,1095,13.8,Low
BULANDSHAHR (134),UP(28),1212,1242,774,725,428,1250,147,27,845,17.4,Low
CHANDAULI (135),UP(28),453,503,415,355,378,516,102,11,396,24.8,High
CHITRAKOOT (136),UP(28),1690,1842,1053,1360,685,1784,171,31,1313,26.5,High
DEORIA (137),UP(28),747,816,544,608,410,833,77,8,622,15,Low
ETAH (138),UP(28),540,600,383,331,455,630,94,20,542,13.9,Low
ETAWAH (139),UP(28),1034,1016,588,887,365,1113,207,24,849,12.4,Low
FAIZABAD (140),UP(28),776,734,618,676,265,835,103,51,712,14.3,Low
FARRUKHABAD (141),UP(28),1140,1134,729,840,653,1297,165,37,1095,17.8,Low
FATEHPUR (142),UP(28),705,727,478,511,567,762,149,27,599,9.5,Low
FIROZABAD (143),UP(28),102,95,65,90,41,99,63,6,96,12,Low
GAUTAM BUDDHA NAGAR (144),UP(28),183,182,131,174,73,189,106,5,162,17.1,Low
GHAZIABAD (145),UP(28),2114,2196,1595,1357,976,2468,498,156,1074,25.7,High
GHAZIPUR (146),UP(28),1472,1740,709,1294,1207,1668,77,28,1249,12.1,Low
GONDA (147),UP(28),2382,2582,1878,1549,1283,2569,478,55,1406,23.3,High
GORAKHPUR (148),UP(28),459,466,462,384,445,462,80,1,434,20.6,High
HAMIRPUR (149),UP(28),1630,1582,1152,1433,482,1854,589,40,1597,22.3,High
HARDOI (150),UP(28),845,919,570,583,489,950,171,26,764,19.5,High
JALAUN (151),UP(28),2272,2507,1605,1791,1326,2600,185,46,1471,14.8,Low
JAUNPUR (152),UP(28),609,642,586,440,401,698,110,15,579,25.2,High
JHANSI (153),UP(28),866,782,589,635,448,935,201,30,745,22.5,High
AMROHA (154),UP(28),605,610,329,446,408,640,141,31,597,21.5,High
KANNAUJ (155),UP(28),812,823,398,592,349,855,104,19,787,12.5,Low
KANPUR DEHAT (156),UP(28),810,851,557,642,365,904,156,32,775,21.4,High
KANPUR NAGAR (157),UP(28),675,614,358,507,278,678,340,60,568,18.3,Low
KAUSHAMBI (158),UP(28),1309,1427,744,1155,769,1481,155,27,1251,15.8,Low
KHERI (159),UP(28),1078,1211,732,999,651,1188,78,21,1008,24.3,High
KUSHI NAGAR (160),UP(28),569,642,545,413,226,614,229,19,574,18.7,Low
LALITPUR (161),UP(28),746,700,387,646,332,763,55,27,688,11.5,Low
LUCKNOW (162),UP(28),522,522,322,452,399,588,95,35,541,12,Low
HATHRAS (163),UP(28),1036,1153,706,893,663,1145,202,47,891,21.8,High
MAHARAJGANJ (164),UP(28),402,391,371,333,165,422,171,13,385,25,High
MAHOBA (165),UP(28),724,758,391,526,366,776,156,37,689,14.6,Low
MAINPURI (166),UP(28),672,686,440,563,631,748,186,28,625,11,Low
MATHURA (167),UP(28),1132,1393,935,731,422,1427,178,28,828,21.2,High
MAU (168),UP(28),577,532,448,506,265,569,253,35,531,10.2,Low
MEERUT (169),UP(28),1467,1512,1039,1044,438,1498,159,46,1034,12.5,Low
MIRZAPUR (170),UP(28),939,1007,697,712,606,1038,144,34,859,19.1,High
MORADABAD (171),UP(28),549,561,506,473,390,561,156,39,517,20.7,High
MUZAFFARNAGAR (172),UP(28),1072,1200,719,639,633,1229,152,31,856,20.1,High
PILIBHIT (173),UP(28),1589,1749,1181,1298,965,1938,159,39,1237,10.1,Low
PRATAPGARH (174),UP(28),1187,1267,636,1043,824,1434,183,24,1169,13,Low
RAE BARELI (175),UP(28),1006,1018,833,805,332,1088,185,59,931,17.6,Low
RAMPUR (176),UP(28),1192,1222,718,946,680,1271,192,26,1056,22,High
SAHARANPUR (177),UP(28),1159,1380,720,759,650,1356,163,24,755,19,High
SANT KABEER NAGAR (178),UP(28),883,961,490,622,280,899,36,13,560,9.1,Low
BHADOHI (179),UP(28),1709,1607,983,1194,865,1915,92,14,1459,17,Low
SHAHJAHANPUR (180),UP(28),440,458,279,379,317,473,100,32,439,18.7247392,Low
SHRAVASTI (181),UP(28),1726,2063,1123,1200,858,2063,164,22,1281,24.8,High
SIDDHARTH NAGAR (182),UP(28),1977,2047,974,1602,929,2096,195,25,1677,18.2,Low
SITAPUR (183),UP(28),1140,1172,917,689,342,1003,51,9,861,26.8,High
SONBHADRA (184),UP(28),1309,1451,846,1083,759,1482,97,71,1030,10.7,Low
SULTANPUR (185),UP(28),1466,1461,805,1029,952,1548,202,56,1269,12.1,Low
UNNAO (186),UP(28),1012,1026,646,790,377,932,205,37,826,21,High
VARANASI (187),UP(28),570,590,457,426,401,587,102,25,541,18.7247392,Low
Kasganj (633),UP(28),793,861,491,660,419,886,142,20,765,19.9,High
Amethi (640),UP(28),796,962,660,611,641,975,149,17,702,14.1,Low
SAMBHAL (659),UP(28),291,296,236,246,158,308,150,16,263,24.3,High
SHAMLI (660),UP(28),300,300,288,289,104,318,53,14,297,18.5,Low
HAPUR (661),WB(29),1295,1285,1530,758,969,1461,83,33,1531,13.3,Low
24 PARAGANAS NORTH (303),WB(29),1713,1714,2042,1194,1231,1831,112,55,2031,21.2,High
24 PARAGANAS SOUTH (304),WB(29),2536,2550,2431,1108,2565,2468,108,125,3108,26,High
BANKURA (305),WB(29),1676,1604,2041,1096,1412,2089,180,108,2064,21.1,High
PURBA BARDHAMAN (306),WB(29),1863,1751,1936,742,848,2089,102,53,2048,25.5,High
BIRBHUM (307),WB(29),724,660,1001,388,645,629,78,35,1064,16.8,Low
COOCHBEHAR (308),WB(29),290,245,238,112,197,309,8,3,312,20.6,High
DARJEELING (309),WB(29),929,975,1292,275,584,1175,32,25,1365,22.8,High
DINAJPUR DAKSHIN (310),WB(29),974,1074,1195,574,421,656,57,60,1379,16,Low
DINAJPUR UTTAR (311),WB(29),1562,1527,1777,973,1181,1765,92,43,1838,20,High
HOOGHLY (312),WB(29),651,681,763,422,491,669,19,17,783,21.3,High
HOWRAH (313),WB(29),341,349,392,288,277,406,15,11,425,18.3,Low
JALPAIGURI (314),WB(29),897,990,1303,590,1129,926,102,71,1509,20,High
MALDAH (316),WB(29),1943,2384,2735,1071,2067,2347,85,53,2566,15.5,Low
MEDINIPUR EAST (317),WB(29),2874,3000,3496,1040,3878,3914,153,88,3774,30.3,High
MEDINIPUR WEST (318),WB(29),1522,1602,1681,1060,1038,1483,98,57,1870,16.3,Low
MURSHIDABAD (319),WB(29),1094,952,1252,652,976,766,70,47,1231,17.6,Low
NADIA (320),WB(29),1842,1563,1487,1213,849,973,125,88,2286,29.4,High
PURULIA (321),WB(29),270,234,289,204,199,264,15,5,346,18.7247392,Low
Alipurduar (664),WB(29),1471,1375,1262,350,1491,975,10,14,1769,18.7247392,Low
Jhargram (703),WB(29),360,335,301,203,300,375,56,12,373,25.5,High
PASCHIM BARDHAMAN (704),,,,,,,,,,,,
